file,method,cyclomatic,halstead_volume,halstead_difficulty,halstead_effort,operators_distinct,operands_distinct,operators_total,operands_total
ReceiptOfSale\ReceiptRepo.cs,ReceiptRepo.CreateNewOrder,1,213.96993759735608,4.428571428571429,947.5811522168627,6,21,14,31
ReceiptOfSale\ReceiptRepo.cs,ReceiptRepo.AddProductsToOrder,3,753.8902627834143,17.894736842105264,13490.667860334783,16,38,46,85
ReceiptOfSale\ReceiptRepo.cs,ReceiptRepo.CreateSaleRecord,1,391.7346387762761,5.678571428571429,2224.4931273367106,6,28,24,53
ReceiptOfSale\ReceiptRepo.cs,ReceiptRepo.AddParameter,2,151.26748332105768,5.653846153846154,855.2430787767493,7,13,14,21
Segment\UserSegmentationServiceAdapter.cs,UserSegmentationServiceAdapter.UserSegmentationServiceAdapter,1,18.094737505048094,2,36.18947501009619,3,3,3,4
Segment\UserSegmentationServiceAdapter.cs,UserSegmentationServiceAdapter.Create,1,190.16483617504394,7.538461538461538,1433.5503034734081,7,13,16,28
Segment\UserSegmentationServiceAdapter.cs,UserSegmentationServiceAdapter.GetTopSellersByAverageCheck,2,564.3856189774724,12.642857142857142,7135.446754215187,15,35,41,59
Segment\UserSegmentationServiceAdapter.cs,UserSegmentationServiceAdapter.GetTopSuppliersByDeliveryCost,2,564.3856189774724,12.642857142857142,7135.446754215187,15,35,41,59
Tests\DomainTests.cs,ProductServiceTests.ProductServiceTests,1,159.41105080876324,5.181818181818182,826.0390814635913,6,11,20,19
Tests\DomainTests.cs,ProductServiceTests.GetAllAvailableProducts_ShouldReturnInventory,1,437.94736784098626,5.9624999999999995,2611.26118075188,9,40,25,53
Tests\DomainTests.cs,ProductServiceTests.CheckNewAmount_WithValidProductAndAmount_ShouldReturnTrue,1,305.24777047502033,4.607142857142858,1406.3200854027723,6,28,17,43
Tests\DomainTests.cs,ProductServiceTests.CheckNewAmount_WithInvalidProduct_ShouldReturnFalse,1,232.84722658818313,4.08,950.0166844797872,6,25,13,34
Tests\DomainTests.cs,ProductServiceTests.CheckNewAmount_WithNegativeAmount_ShouldThrowArgumentException,1,170.02933482946503,4.571428571428571,777.2769592204115,8,21,11,24
Tests\DomainTests.cs,ProductServiceTests.CheckNewAmount_WithEmptyProductId_ShouldThrowArgumentException,1,165.17135383433745,4.380952380952381,723.6078358456689,8,21,11,23
Tests\DomainTests.cs,ProductServiceTests.CreateReceipt_WithValidItemsAndCustomer_ReturnsReceipt,1,694.1139116856042,7.5,5205.854337642031,9,48,39,80
Tests\DomainTests.cs,ProductServiceTests.CreateReceipt_WithSingleItem_CorrectlyCalculatesTotal,1,133.97977094150824,3.5,468.9291982952788,5,15,10,21
Tests\DomainTests.cs,ProductServiceTests.CreateReceipt_WithZeroPriceItem_IncludesInTotal,1,269.635530586268,4.925925925925926,1328.2046506656902,7,27,15,38
Tests\DomainTests.cs,ProductServiceTests.CreateReceipt_WithNullItems_ThrowsArgumentNullException,1,171.74117084629816,4.928571428571429,846.4386277424695,9,21,12,23
Tests\DomainTests.cs,ProductServiceTests.CreateReceipt_WithEmptyItems_ThrowsArgumentException,1,213.03044134663563,4.869565217391305,1037.3656274270952,8,23,15,28
Tests\DomainTests.cs,ProductServiceTests.CreateReceipt_WithMultipleItems_CorrectlyCalculatesTotals,1,268.8361000750002,4.344827586206897,1168.046503774139,7,29,16,36
Tests\DomainTests.cs,ReceiptListBuilder.WithReceiptLine,1,60.91767875292167,3.75,228.44129532345625,6,8,6,10
Tests\DomainTests.cs,ReceiptListBuilder.WithReceiptLine,1,36.541209043760986,2.3333333333333335,85.26282110210897,4,6,4,7
Tests\DomainTests.cs,ReceiptListBuilder.Build,1,24,2,48,4,4,4,4
Tests\DomainTests.cs,Product_Builder.Product_Builder,1,2,0.5,1,1,1,1,1
Tests\DomainTests.cs,Product_Builder.ForProduct,1,18.094737505048094,3,54.28421251514428,4,2,4,3
Tests\DomainTests.cs,Product_Builder.WithId,1,31.69925001442312,3.125,99.06015629507226,5,4,5,5
